ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000197182	124905135	LOC124905135	collagen alpha-1(III) chain-like
ENSG00000109846	1410	CRYAB	crystallin alpha B
ENSG00000276386	NA	NA	NA
ENSG00000119147	84417	ECRG4	ECRG4 augurin precursor
ENSG00000173947	128344	CIMAP3	ciliary microtubule associated protein 3
ENSG00000173258	158399	ZNF483	zinc finger protein 483
ENSG00000143127	8515	ITGA10	integrin subunit alpha 10
ENSG00000155980	3798	KIF5A	kinesin family member 5A
ENSG00000186301	NA	NA	NA
ENSG00000174680	NA	NA	NA
ENSG00000034239	79645	CLXN	calaxin
ENSG00000137693	10413	YAP1	Yes1 associated transcriptional regulator
ENSG00000138685	2247	FGF2	fibroblast growth factor 2
ENSG00000163017	72	ACTG2	actin gamma 2, smooth muscle
ENSG00000139144	5288	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
ENSG00000269289	100505851	LOC100505851	uncharacterized LOC100505851
ENSG00000161055	92304	SCGB3A1	secretoglobin family 3A member 1
ENSG00000088543	51161	C3orf18	chromosome 3 open reading frame 18
ENSG00000153822	3773	KCNJ16	potassium inwardly rectifying channel subfamily J member 16
ENSG00000165821	6297	SALL2	spalt like transcription factor 2
ENSG00000019485	56981	PRDM11	PR/SET domain 11
ENSG00000118777	9429	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
ENSG00000182983	389114	ZNF662	zinc finger protein 662
ENSG00000116661	26232	FBXO2	F-box protein 2
ENSG00000073910	10129	FRY	FRY microtubule binding protein
ENSG00000228971	100996635	LINC02607	long intergenic non-protein coding RNA 2607
ENSG00000135338	167691	LCA5	lebercilin LCA5
ENSG00000196932	219623	TMEM26	transmembrane protein 26
ENSG00000108924	3131	HLF	HLF transcription factor, PAR bZIP family member
ENSG00000251141	NA	NA	NA
ENSG00000153291	9481	SLC25A27	solute carrier family 25 member 27
ENSG00000180914	5021	OXTR	oxytocin receptor
ENSG00000039139	1767	DNAH5	dynein axonemal heavy chain 5
ENSG00000172201	3400	ID4	inhibitor of DNA binding 4
ENSG00000178965	127254	ERICH3	glutamate rich 3
ENSG00000174899	152078	SLC66A1L	solute carrier family 66 member 1 like (pseudogene)
ENSG00000090006	8425	LTBP4	latent transforming growth factor beta binding protein 4
ENSG00000092096	51310	SLC22A17	solute carrier family 22 member 17
ENSG00000144891	185	AGTR1	angiotensin II receptor type 1
ENSG00000233006	553103	MIR3936HG	MIR3936 host gene
ENSG00000139631	51380	CSAD	cysteine sulfinic acid decarboxylase
ENSG00000186642	5138	PDE2A	phosphodiesterase 2A
ENSG00000187824	388335	TMEM220	transmembrane protein 220
ENSG00000148513	91074	ANKRD30A	ankyrin repeat domain 30A
ENSG00000165801	55701	ARHGEF40	Rho guanine nucleotide exchange factor 40
ENSG00000196549	4311	MME	membrane metalloendopeptidase
ENSG00000204434	NA	NA	NA
ENSG00000165621	27199	OXGR1	oxoglutarate receptor 1
ENSG00000166450	283659	PRTG	protogenin
ENSG00000132326	8864	PER2	period circadian regulator 2
ENSG00000140022	85439	STON2	stonin 2
ENSG00000283445	NA	NA	NA
ENSG00000170959	341019	DCDC1	doublecortin domain containing 1
ENSG00000165323	120114	FAT3	FAT atypical cadherin 3
ENSG00000279453	NA	NA	NA
ENSG00000113396	28965	SLC27A6	solute carrier family 27 member 6
ENSG00000161649	146894	CD300LG	CD300 molecule like family member g
ENSG00000165804	51222	ZNF219	zinc finger protein 219
ENSG00000105894	5764	PTN	pleiotrophin
ENSG00000174498	9543	IGDCC3	immunoglobulin superfamily DCC subclass member 3
ENSG00000249669	NA	NA	NA
ENSG00000236313	100312806	VN1R53P	vomeronasal 1 receptor 53 pseudogene
ENSG00000179796	116135	LRRC3B	leucine rich repeat containing 3B
ENSG00000139946	57161	PELI2	pellino E3 ubiquitin protein ligase family member 2
ENSG00000105227	57716	PRX	periaxin
ENSG00000214140	768206	PRCD	photoreceptor disc component
ENSG00000090530	55214	P3H2	prolyl 3-hydroxylase 2
ENSG00000287354	124904503	LOC124904503	uncharacterized LOC124904503
ENSG00000253768	NA	NA	NA
ENSG00000112175	653	BMP5	bone morphogenetic protein 5
ENSG00000258441	283624	LINC00641	long intergenic non-protein coding RNA 641
ENSG00000178662	80034	CSRNP3	cysteine and serine rich nuclear protein 3
ENSG00000182575	11248	NXPH3	neurexophilin 3
ENSG00000286208	NA	NA	NA
ENSG00000164039	56898	BDH2	3-hydroxybutyrate dehydrogenase 2
ENSG00000129596	1036	CDO1	cysteine dioxygenase type 1
ENSG00000146005	84249	PSD2	pleckstrin and Sec7 domain containing 2
ENSG00000171189	2897	GRIK1	glutamate ionotropic receptor kainate type subunit 1
ENSG00000203685	375057	STUM	stum, mechanosensory transduction mediator homolog
ENSG00000164007	149461	CLDN19	claudin 19
ENSG00000134765	1823	DSC1	desmocollin 1
ENSG00000187123	130574	LYPD6	LY6/PLAUR domain containing 6
ENSG00000165028	55335	NIPSNAP3B	nipsnap homolog 3B
ENSG00000147256	158763	ARHGAP36	Rho GTPase activating protein 36
ENSG00000138640	10144	FAM13A	family with sequence similarity 13 member A
ENSG00000107485	2625	GATA3	GATA binding protein 3
ENSG00000241935	112817	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1
ENSG00000186522	151011	SEPTIN10	septin 10
ENSG00000114019	51421	AMOTL2	angiomotin like 2
ENSG00000249661	NA	NA	NA
ENSG00000144115	55258	THNSL2	threonine synthase like 2
ENSG00000198483	148741	ANKRD35	ankyrin repeat domain 35
ENSG00000271133	101927811	ITGB8-AS1	ITGB8 antisense RNA 1
ENSG00000291119	442523	DPY19L2P4	DPY19L2 pseudogene 4
ENSG00000157404	3815	KIT	KIT proto-oncogene, receptor tyrosine kinase
ENSG00000196440	100131755	ARMCX4	armadillo repeat containing X-linked 4
ENSG00000147257	2719	GPC3	glypican 3
ENSG00000004776	126393	HSPB6	heat shock protein family B (small) member 6
ENSG00000099769	3483	IGFALS	insulin like growth factor binding protein acid labile subunit
ENSG00000157782	9478	CABP1	calcium binding protein 1
ENSG00000184481	4303	FOXO4	forkhead box O4
ENSG00000101049	10110	SGK2	serum/glucocorticoid regulated kinase 2
ENSG00000269151	NA	NA	NA
ENSG00000123119	64168	NECAB1	N-terminal EF-hand calcium binding protein 1
ENSG00000184564	84189	SLITRK6	SLIT and NTRK like family member 6
ENSG00000007516	8938	BAIAP3	BAI1 associated protein 3
ENSG00000151376	10873	ME3	malic enzyme 3
ENSG00000130653	375775	PNPLA7	patatin like phospholipase domain containing 7
ENSG00000101349	57144	PAK5	p21 (RAC1) activated kinase 5
ENSG00000172987	60495	HPSE2	heparanase 2 (inactive)
ENSG00000144857	91653	BOC	BOC cell adhesion associated, oncogene regulated
ENSG00000179915	9378	NRXN1	neurexin 1
ENSG00000115423	1768	DNAH6	dynein axonemal heavy chain 6
ENSG00000178403	63973	NEUROG2	neurogenin 2
ENSG00000147027	83604	TMEM47	transmembrane protein 47
ENSG00000168497	8436	CAVIN2	caveolae associated protein 2
ENSG00000154258	10350	ABCA9	ATP binding cassette subfamily A member 9
ENSG00000176533	2788	GNG7	G protein subunit gamma 7
ENSG00000167641	94274	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A
ENSG00000163531	23114	NFASC	neurofascin
ENSG00000182310	147650	SPACA6	sperm acrosome associated 6
ENSG00000078549	117	ADCYAP1R1	ADCYAP receptor type I
ENSG00000177990	283417	DPY19L2	dpy-19 like 2
ENSG00000129757	1028	CDKN1C	cyclin dependent kinase inhibitor 1C
ENSG00000131094	10882	C1QL1	complement C1q like 1
ENSG00000073282	8626	TP63	tumor protein p63
ENSG00000253250	100127983	C8orf88	chromosome 8 open reading frame 88
ENSG00000164330	1879	EBF1	EBF transcription factor 1
ENSG00000238178	NA	NA	NA
ENSG00000259030	100526835	FPGT-TNNI3K	FPGT-TNNI3K readthrough
ENSG00000185267	441549	CDNF	cerebral dopamine neurotrophic factor
ENSG00000239887	400793	C1orf226	chromosome 1 open reading frame 226
ENSG00000168702	53353	LRP1B	LDL receptor related protein 1B
ENSG00000082175	5241	PGR	progesterone receptor
ENSG00000166106	170689	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15
ENSG00000010319	56920	SEMA3G	semaphorin 3G
ENSG00000291115	134466	ZNF300P1	zinc finger protein 300 pseudogene 1
ENSG00000139211	347902	AMIGO2	adhesion molecule with Ig like domain 2
ENSG00000225398	NA	NA	NA
ENSG00000070778	11099	PTPN21	protein tyrosine phosphatase non-receptor type 21
ENSG00000106714	79937	CNTNAP3	contactin associated protein family member 3
ENSG00000269113	388630	TRABD2B	TraB domain containing 2B
ENSG00000133067	59352	LGR6	leucine rich repeat containing G protein-coupled receptor 6
ENSG00000091513	7018	TF	transferrin
ENSG00000230937	642587	MIR205HG	MIR205 host gene
ENSG00000154529	728577	CNTNAP3B	contactin associated protein family member 3B
ENSG00000226891	101927084	LINC01359	long intergenic non-protein coding RNA 1359
ENSG00000180777	374860	ANKRD30B	ankyrin repeat domain 30B
ENSG00000133800	10894	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
ENSG00000173114	54674	LRRN3	leucine rich repeat neuronal 3
ENSG00000183807	221303	FAM162B	family with sequence similarity 162 member B
ENSG00000139910	4857	NOVA1	NOVA alternative splicing regulator 1
ENSG00000139874	6751	SSTR1	somatostatin receptor 1
ENSG00000224713	NA	NA	NA
ENSG00000079308	7145	TNS1	tensin 1
ENSG00000203778	619208	FAM229B	family with sequence similarity 229 member B
ENSG00000268555	NA	NA	NA
ENSG00000171346	3866	KRT15	keratin 15
ENSG00000154263	10349	ABCA10	ATP binding cassette subfamily A member 10
ENSG00000092607	6913	TBX15	T-box transcription factor 15
ENSG00000224559	101927994	LINC01087	long intergenic non-protein coding RNA 1087
ENSG00000112183	221662	RBM24	RNA binding motif protein 24
ENSG00000171303	3777	KCNK3	potassium two pore domain channel subfamily K member 3
ENSG00000186910	256394	SERPINA11	serpin family A member 11
ENSG00000229108	101927524	LINC02587	long intergenic non-protein coding RNA 2587
ENSG00000130595	7140	TNNT3	troponin T3, fast skeletal type
ENSG00000166924	222950	NYAP1	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1
ENSG00000137962	9411	ARHGAP29	Rho GTPase activating protein 29
ENSG00000137962	105378858	LOC105378858	uncharacterized LOC105378858
ENSG00000228162	NA	NA	NA
ENSG00000165863	143379	SPMIP5	sperm microtubule inner protein 5
ENSG00000106686	55064	SPATA6L	spermatogenesis associated 6 like
ENSG00000287356	NA	NA	NA
ENSG00000105974	857	CAV1	caveolin 1
ENSG00000163749	339965	CCDC158	coiled-coil domain containing 158
ENSG00000172824	283848	CES4A	carboxylesterase 4A
ENSG00000112812	10279	PRSS16	serine protease 16
ENSG00000152779	387700	SLC16A12	solute carrier family 16 member 12
ENSG00000163815	7123	CLEC3B	C-type lectin domain family 3 member B
ENSG00000187134	1645	AKR1C1	aldo-keto reductase family 1 member C1
ENSG00000112164	2740	GLP1R	glucagon like peptide 1 receptor
ENSG00000180354	222166	MTURN	maturin, neural progenitor differentiation regulator homolog
ENSG00000235687	NA	NA	NA
ENSG00000179094	5187	PER1	period circadian regulator 1
ENSG00000169418	4881	NPR1	natriuretic peptide receptor 1
ENSG00000113578	2246	FGF1	fibroblast growth factor 1
ENSG00000153002	1360	CPB1	carboxypeptidase B1
ENSG00000008311	10157	AASS	aminoadipate-semialdehyde synthase
ENSG00000230490	NA	NA	NA
ENSG00000182916	56849	TCEAL7	transcription elongation factor A like 7
ENSG00000169744	9079	LDB2	LIM domain binding 2
ENSG00000116176	25823	TPSG1	tryptase gamma 1
ENSG00000105971	858	CAV2	caveolin 2
ENSG00000158301	114928	GPRASP2	G protein-coupled receptor associated sorting protein 2
ENSG00000158301	100528062	ARMCX5-GPRASP2	ARMCX5-GPRASP2 readthrough
ENSG00000235947	100126791	EGOT	eosinophil granule ontogeny transcript
ENSG00000165810	153579	BTNL9	butyrophilin like 9
ENSG00000149050	7761	ZNF214	zinc finger protein 214
ENSG00000167701	2875	GPT	glutamic--pyruvic transaminase
ENSG00000167434	762	CA4	carbonic anhydrase 4
ENSG00000007314	6329	SCN4A	sodium voltage-gated channel alpha subunit 4
ENSG00000158258	64084	CLSTN2	calsyntenin 2
ENSG00000129244	482	ATP1B2	ATPase Na+/K+ transporting subunit beta 2
ENSG00000188488	5104	SERPINA5	serpin family A member 5
ENSG00000252621	NA	NA	NA
ENSG00000151276	9223	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1
ENSG00000224958	572558	PGM5-AS1	PGM5 antisense RNA 1
ENSG00000154162	1010	CDH12	cadherin 12
ENSG00000100154	23331	TTC28	tetratricopeptide repeat domain 28
ENSG00000110455	84680	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ENSG00000130176	1264	CNN1	calponin 1
ENSG00000149090	25891	PAMR1	peptidase domain containing associated with muscle regeneration 1
ENSG00000171819	10218	ANGPTL7	angiopoietin like 7
ENSG00000123096	8082	SSPN	sarcospan
ENSG00000181856	6517	SLC2A4	solute carrier family 2 member 4
ENSG00000154027	26289	AK5	adenylate kinase 5
ENSG00000065534	4638	MYLK	myosin light chain kinase
ENSG00000245812	101927740	LINC02202	long intergenic non-protein coding RNA 2202
ENSG00000133116	9365	KL	klotho
ENSG00000125931	4435	CITED1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
ENSG00000184867	9823	ARMCX2	armadillo repeat containing X-linked 2
ENSG00000115556	84812	PLCD4	phospholipase C delta 4
ENSG00000163431	25802	LMOD1	leiomodin 1
ENSG00000018236	1272	CNTN1	contactin 1
ENSG00000181513	79777	ACBD4	acyl-CoA binding domain containing 4
ENSG00000163040	90557	CCDC74A	coiled-coil domain containing 74A
ENSG00000151882	56477	CCL28	C-C motif chemokine ligand 28
ENSG00000154856	147495	APCDD1	APC down-regulated 1
ENSG00000153902	163175	LGI4	leucine rich repeat LGI family member 4
ENSG00000114698	57088	PLSCR4	phospholipid scramblase 4
ENSG00000123838	722	C4BPA	complement component 4 binding protein alpha
ENSG00000287826	124902005	LOC124902005	uncharacterized LOC124902005
ENSG00000121440	23024	PDZRN3	PDZ domain containing ring finger 3
ENSG00000179523	645212	EIF3J-DT	EIF3J divergent transcript
ENSG00000158445	3745	KCNB1	potassium voltage-gated channel subfamily B member 1
ENSG00000162444	116362	RBP7	retinol binding protein 7
ENSG00000251381	100506305	LINC00958	long intergenic non-protein coding RNA 958
ENSG00000134138	4212	MEIS2	Meis homeobox 2
ENSG00000122176	2331	FMOD	fibromodulin
ENSG00000181264	219902	TLCD5	TLC domain containing 5
ENSG00000280073	NA	NA	NA
ENSG00000167244	3481	IGF2	insulin like growth factor 2
ENSG00000167779	3489	IGFBP6	insulin like growth factor binding protein 6
ENSG00000151364	65987	KCTD14	potassium channel tetramerization domain containing 14
ENSG00000140557	8128	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
ENSG00000127990	8910	SGCE	sarcoglycan epsilon
ENSG00000126010	2925	GRPR	gastrin releasing peptide receptor
ENSG00000145936	3779	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1
ENSG00000165730	219736	STOX1	storkhead box 1
ENSG00000135218	948	CD36	CD36 molecule
ENSG00000154358	84033	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
ENSG00000124935	10647	SCGB1D2	secretoglobin family 1D member 2
ENSG00000197291	100190938	RAMP2-AS1	RAMP2 antisense RNA 1
ENSG00000137103	51754	TMEM8B	transmembrane protein 8B
ENSG00000149451	80332	ADAM33	ADAM metallopeptidase domain 33
ENSG00000164318	133584	EGFLAM	EGF like, fibronectin type III and laminin G domains
ENSG00000232079	284825	LINC01697	long intergenic non-protein coding RNA 1697
ENSG00000006283	8913	CACNA1G	calcium voltage-gated channel subunit alpha1 G
ENSG00000231711	NA	NA	NA
ENSG00000280362	NA	NA	NA
ENSG00000286449	NA	NA	NA
ENSG00000279118	NA	NA	NA
ENSG00000214548	55384	MEG3	maternally expressed 3
ENSG00000272143	283481	FGF14-AS2	FGF14 antisense RNA 2
ENSG00000138735	8654	PDE5A	phosphodiesterase 5A
ENSG00000094963	2327	FMO2	flavin containing dimethylaniline monoxygenase 2
ENSG00000224032	NA	NA	NA
ENSG00000277954	NA	NA	NA
ENSG00000188001	285386	TPRG1	tumor protein p63 regulated 1
ENSG00000100065	29775	CARD10	caspase recruitment domain family member 10
ENSG00000108381	443	ASPA	aspartoacylase
ENSG00000230314	100506409	ELOVL2-AS1	ELOVL2 antisense RNA 1
ENSG00000173805	9001	HAP1	huntingtin associated protein 1
ENSG00000163354	127579	DCST2	DC-STAMP domain containing 2
ENSG00000244402	106481836	RN7SL314P	RNA, 7SL, cytoplasmic 314, pseudogene
ENSG00000120049	30819	KCNIP2	potassium voltage-gated channel interacting protein 2
ENSG00000272734	NA	NA	NA
ENSG00000163121	93082	NEURL3	neuralized E3 ubiquitin protein ligase 3
ENSG00000119943	84795	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2
ENSG00000185149	4887	NPY2R	neuropeptide Y receptor Y2
ENSG00000170209	255239	ANKK1	ankyrin repeat and kinase domain containing 1
ENSG00000165186	139411	PTCHD1	patched domain containing 1
ENSG00000186439	10345	TRDN	triadin
ENSG00000227467	101928555	LINC01537	long intergenic non-protein coding RNA 1537
ENSG00000286647	124900989	LOC124900989	uncharacterized LOC124900989
ENSG00000198848	1066	CES1	carboxylesterase 1
ENSG00000244734	3043	HBB	hemoglobin subunit beta
ENSG00000165795	57447	NDRG2	NDRG family member 2
ENSG00000070193	2255	FGF10	fibroblast growth factor 10
ENSG00000165698	11092	SPACA9	sperm acrosome associated 9
ENSG00000185290	389493	NUPR2	nuclear protein 2, transcriptional regulator
ENSG00000157150	7079	TIMP4	TIMP metallopeptidase inhibitor 4
ENSG00000286289	107984270	LOC107984270	uncharacterized LOC107984270
ENSG00000076555	32	ACACB	acetyl-CoA carboxylase beta
ENSG00000182185	5890	RAD51B	RAD51 paralog B
ENSG00000182253	23336	SYNM	synemin
ENSG00000265519	NA	NA	NA
ENSG00000153993	223117	SEMA3D	semaphorin 3D
ENSG00000226622	NA	NA	NA
ENSG00000267594	NA	NA	NA
ENSG00000287914	NA	NA	NA
ENSG00000187800	375033	PEAR1	platelet endothelial aggregation receptor 1
ENSG00000231160	NA	NA	NA
ENSG00000282728	NA	NA	NA
ENSG00000250182	NA	NA	NA
ENSG00000279204	NA	NA	NA
ENSG00000120262	80129	CCDC170	coiled-coil domain containing 170
ENSG00000137727	57569	ARHGAP20	Rho GTPase activating protein 20
ENSG00000079337	10411	RAPGEF3	Rap guanine nucleotide exchange factor 3
ENSG00000077279	1641	DCX	doublecortin
ENSG00000142233	126147	NTN5	netrin 5
ENSG00000198932	9737	GPRASP1	G protein-coupled receptor associated sorting protein 1
ENSG00000103044	3038	HAS3	hyaluronan synthase 3
ENSG00000159714	29800	ZDHHC1	zinc finger DHHC-type containing 1
ENSG00000258636	124907392	LOC124907392	uncharacterized LOC124907392
ENSG00000248994	NA	NA	NA
ENSG00000291112	NA	NA	NA
ENSG00000111961	23328	SASH1	SAM and SH3 domain containing 1
ENSG00000052850	60529	ALX4	ALX homeobox 4
ENSG00000170145	23235	SIK2	salt inducible kinase 2
ENSG00000136842	7111	TMOD1	tropomodulin 1
ENSG00000196878	3914	LAMB3	laminin subunit beta 3
ENSG00000242265	23089	PEG10	paternally expressed 10
ENSG00000152076	91409	CCDC74B	coiled-coil domain containing 74B
ENSG00000291129	728448	PPIEL	peptidylprolyl isomerase E like (pseudogene)
ENSG00000237125	79804	HAND2-AS1	HAND2 antisense RNA 1
ENSG00000198075	27233	SULT1C4	sulfotransferase family 1C member 4
ENSG00000138769	8999	CDKL2	cyclin dependent kinase like 2
ENSG00000133134	84707	BEX2	brain expressed X-linked 2
ENSG00000223891	100505783	OSER1-DT	OSER1 divergent transcript
ENSG00000131730	1160	CKMT2	creatine kinase, mitochondrial 2
ENSG00000164849	115330	GPR146	G protein-coupled receptor 146
ENSG00000177469	284119	CAVIN1	caveolae associated protein 1
ENSG00000159648	374739	SPMIP8	sperm microtubule inner protein 8
ENSG00000012822	57658	CALCOCO1	calcium binding and coiled-coil domain 1
ENSG00000254164	NA	NA	NA
ENSG00000183378	341277	OVCH2	ovochymase 2
ENSG00000148935	2620	GAS2	growth arrest specific 2
ENSG00000196668	100287569	LINC00173	long intergenic non-protein coding RNA 173
ENSG00000178038	259173	ALS2CL	ALS2 C-terminal like
ENSG00000238078	101929730	LINC01352	long intergenic non-protein coding RNA 1352
ENSG00000151892	2674	GFRA1	GDNF family receptor alpha 1
ENSG00000254404	NA	NA	NA
ENSG00000226833	100505774	LOC100505774	uncharacterized LOC100505774
ENSG00000226833	112267877	PPP1CB-DT	PPP1CB divergent transcript
ENSG00000067798	89795	NAV3	neuron navigator 3
ENSG00000106571	2737	GLI3	GLI family zinc finger 3
ENSG00000131471	8639	AOC3	amine oxidase copper containing 3
ENSG00000224940	401399	PRRT4	proline rich transmembrane protein 4
ENSG00000166292	55273	TMEM100	transmembrane protein 100
ENSG00000133121	90627	STARD13	StAR related lipid transfer domain containing 13
ENSG00000053747	3909	LAMA3	laminin subunit alpha 3
ENSG00000197977	54898	ELOVL2	ELOVL fatty acid elongase 2
ENSG00000185532	5592	PRKG1	protein kinase cGMP-dependent 1
